'Time','ECG1','ECG2'
'hh:mm:ss.mmm','mV','mV'
'[10:00:00.000]',0.635,-0.640
'[10:00:00.004]',0.680,-1.280
'[10:00:00.008]',0.630,-1.920
'[10:00:00.012]',0.570,-2.535
'[10:00:00.016]',0.535,-2.800
'[10:00:00.020]',0.510,-2.900
'[10:00:00.024]',0.515,-2.990
'[10:00:00.028]',0.520,-3.030
'[10:00:00.032]',0.525,-3.025
'[10:00:00.036]',0.495,-2.975
'[10:00:00.040]',0.430,-2.825
'[10:00:00.044]',0.275,-2.565
'[10:00:00.048]',0.195,-2.305
'[10:00:00.052]',0.200,-2.050
'[10:00:00.056]',0.260,-1.835
'[10:00:00.060]',0.355,-1.695
'[10:00:00.064]',0.370,-1.590
'[10:00:00.068]',0.315,-1.465
'[10:00:00.072]',0.155,-1.290
'[10:00:00.076]',-0.035,-1.075
'[10:00:00.080]',-0.170,-0.870
'[10:00:00.084]',-0.255,-0.660
'[10:00:00.088]',-0.265,-0.535
'[10:00:00.092]',-0.290,-0.430
'[10:00:00.096]',-0.300,-0.335
'[10:00:00.100]',-0.335,-0.220
'[10:00:00.104]',-0.365,-0.080
'[10:00:00.108]',-0.385,0.015
'[10:00:00.112]',-0.355,0.100
'[10:00:00.116]',-0.355,0.145
'[10:00:00.120]',-0.360,0.140
'[10:00:00.124]',-0.340,0.150
'[10:00:00.128]',-0.360,0.155
'[10:00:00.132]',-0.370,0.165
'[10:00:00.136]',-0.350,0.170
'[10:00:00.140]',-0.365,0.200
'[10:00:00.144]',-0.345,0.215
'[10:00:00.148]',-0.365,0.200
'[10:00:00.152]',-0.325,0.215
'[10:00:00.156]',-0.335,0.220
'[10:00:00.160]',-0.345,0.210
'[10:00:00.164]',-0.350,0.250
'[10:00:00.168]',-0.385,0.235
'[10:00:00.172]',-0.355,0.255
'[10:00:00.176]',-0.365,0.280
'[10:00:00.180]',-0.350,0.275
'[10:00:00.184]',-0.350,0.275
'[10:00:00.188]',-0.340,0.325
'[10:00:00.192]',-0.360,0.305
'[10:00:00.196]',-0.360,0.330
'[10:00:00.200]',-0.385,0.325
'[10:00:00.204]',-0.385,0.345
'[10:00:00.208]',-0.390,0.350
'[10:00:00.212]',-0.400,0.350
'[10:00:00.216]',-0.405,0.385
'[10:00:00.220]',-0.375,0.410
'[10:00:00.224]',-0.400,0.405
'[10:00:00.228]',-0.400,0.425
'[10:00:00.232]',-0.410,0.430
'[10:00:00.236]',-0.420,0.465
'[10:00:00.240]',-0.420,0.485
'[10:00:00.244]',-0.430,0.515
'[10:00:00.248]',-0.435,0.545
'[10:00:00.252]',-0.425,0.530
'[10:00:00.256]',-0.440,0.570
'[10:00:00.260]',-0.455,0.600
'[10:00:00.264]',-0.440,0.610
'[10:00:00.268]',-0.440,0.620
'[10:00:00.272]',-0.465,0.670
'[10:00:00.276]',-0.455,0.690
'[10:00:00.280]',-0.445,0.730
'[10:00:00.284]',-0.445,0.735
'[10:00:00.288]',-0.490,0.750
'[10:00:00.292]',-0.450,0.755
'[10:00:00.296]',-0.450,0.765
'[10:00:00.300]',-0.460,0.780
'[10:00:00.304]',-0.445,0.810
'[10:00:00.308]',-0.475,0.810
'[10:00:00.312]',-0.465,0.820
'[10:00:00.316]',-0.445,0.825
'[10:00:00.320]',-0.445,0.815
'[10:00:00.324]',-0.440,0.850
'[10:00:00.328]',-0.435,0.855
'[10:00:00.332]',-0.420,0.825
'[10:00:00.336]',-0.375,0.840
'[10:00:00.340]',-0.405,0.810
'[10:00:00.344]',-0.385,0.805
'[10:00:00.348]',-0.390,0.800
'[10:00:00.352]',-0.350,0.770
'[10:00:00.356]',-0.345,0.775
'[10:00:00.360]',-0.310,0.720
'[10:00:00.364]',-0.300,0.675
'[10:00:00.368]',-0.305,0.645
'[10:00:00.372]',-0.275,0.595
'[10:00:00.376]',-0.280,0.555
'[10:00:00.380]',-0.275,0.510
'[10:00:00.384]',-0.270,0.460
'[10:00:00.388]',-0.260,0.430
'[10:00:00.392]',-0.255,0.375
'[10:00:00.396]',-0.260,0.325
'[10:00:00.400]',-0.210,0.275
'[10:00:00.404]',-0.190,0.220
'[10:00:00.408]',-0.210,0.190
'[10:00:00.412]',-0.235,0.135
'[10:00:00.416]',-0.235,0.100
'[10:00:00.420]',-0.245,0.070
'[10:00:00.424]',-0.255,0.055
'[10:00:00.428]',-0.235,0.015
'[10:00:00.432]',-0.235,0.015
'[10:00:00.436]',-0.245,-0.015
'[10:00:00.440]',-0.255,-0.015
'[10:00:00.444]',-0.225,-0.020
'[10:00:00.448]',-0.240,-0.035
'[10:00:00.452]',-0.230,-0.040
'[10:00:00.456]',-0.235,-0.040
'[10:00:00.460]',-0.260,-0.035
'[10:00:00.464]',-0.285,-0.065
'[10:00:00.468]',-0.300,-0.055
'[10:00:00.472]',-0.265,-0.045
'[10:00:00.476]',-0.295,-0.050
'[10:00:00.480]',-0.290,-0.055
'[10:00:00.484]',-0.300,-0.035
'[10:00:00.488]',-0.285,-0.040
'[10:00:00.492]',-0.290,-0.060
'[10:00:00.496]',-0.305,-0.035
'[10:00:00.500]',-0.280,-0.015
'[10:00:00.504]',-0.285,-0.030
'[10:00:00.508]',-0.300,-0.035
'[10:00:00.512]',-0.305,-0.040
'[10:00:00.516]',-0.305,-0.025
'[10:00:00.520]',-0.310,-0.050
'[10:00:00.524]',-0.315,-0.035
'[10:00:00.528]',-0.285,-0.055
'[10:00:00.532]',-0.290,-0.020
'[10:00:00.536]',-0.320,-0.030
'[10:00:00.540]',-0.300,-0.025
'[10:00:00.544]',-0.310,-0.040
'[10:00:00.548]',-0.285,-0.050
'[10:00:00.552]',-0.280,-0.060
'[10:00:00.556]',-0.265,-0.065
'[10:00:00.560]',-0.305,-0.060
'[10:00:00.564]',-0.300,-0.040
'[10:00:00.568]',-0.320,-0.045
'[10:00:00.572]',-0.295,-0.055
'[10:00:00.576]',-0.290,-0.075
'[10:00:00.580]',-0.300,-0.060
'[10:00:00.584]',-0.295,-0.090
'[10:00:00.588]',-0.300,-0.075
'[10:00:00.592]',-0.310,-0.095
'[10:00:00.596]',-0.305,-0.085
'[10:00:00.600]',-0.305,-0.115
'[10:00:00.604]',-0.260,-0.130
'[10:00:00.608]',-0.255,-0.100
'[10:00:00.612]',-0.215,-0.095
'[10:00:00.616]',-0.200,-0.080
'[10:00:00.620]',-0.200,-0.110
'[10:00:00.624]',-0.195,-0.085
'[10:00:00.628]',-0.170,-0.100
'[10:00:00.632]',-0.160,-0.105
'[10:00:00.636]',-0.160,-0.085
'[10:00:00.640]',-0.140,-0.045
'[10:00:00.644]',-0.130,-0.030
'[10:00:00.648]',-0.140,-0.040
'[10:00:00.652]',-0.135,-0.025
'[10:00:00.656]',-0.145,-0.030
'[10:00:00.660]',-0.145,-0.040
'[10:00:00.664]',-0.165,-0.040
'[10:00:00.668]',-0.165,-0.065
'[10:00:00.672]',-0.185,-0.060
'[10:00:00.676]',-0.235,-0.100
'[10:00:00.680]',-0.255,-0.115
'[10:00:00.684]',-0.290,-0.145
'[10:00:00.688]',-0.260,-0.170
'[10:00:00.692]',-0.255,-0.185
'[10:00:00.696]',-0.245,-0.200
'[10:00:00.700]',-0.240,-0.215
'[10:00:00.704]',-0.285,-0.200
'[10:00:00.708]',-0.285,-0.195
'[10:00:00.712]',-0.310,-0.200
'[10:00:00.716]',-0.345,-0.185
'[10:00:00.720]',-0.340,-0.190
'[10:00:00.724]',-0.350,-0.180
'[10:00:00.728]',-0.345,-0.190
'[10:00:00.732]',-0.360,-0.205
'[10:00:00.736]',-0.375,-0.210
'[10:00:00.740]',-0.360,-0.180
'[10:00:00.744]',-0.395,-0.195
'[10:00:00.748]',-0.385,-0.195
'[10:00:00.752]',-0.385,-0.180
'[10:00:00.756]',-0.380,-0.170
'[10:00:00.760]',-0.365,-0.205
'[10:00:00.764]',-0.355,-0.185
'[10:00:00.768]',-0.350,-0.180
'[10:00:00.772]',-0.365,-0.215
'[10:00:00.776]',-0.365,-0.190
'[10:00:00.780]',-0.365,-0.190
'[10:00:00.784]',-0.350,-0.190
'[10:00:00.788]',-0.350,-0.195
'[10:00:00.792]',-0.355,-0.175
'[10:00:00.796]',-0.375,-0.180
'[10:00:00.800]',-0.380,-0.220
'[10:00:00.804]',-0.355,-0.195
'[10:00:00.808]',-0.335,-0.190
'[10:00:00.812]',-0.315,-0.205
'[10:00:00.816]',-0.280,-0.195
'[10:00:00.820]',-0.215,-0.185
'[10:00:00.824]',-0.145,-0.205
'[10:00:00.828]',0.010,-0.225
'[10:00:00.832]',0.195,-0.220
'[10:00:00.836]',0.405,-0.235
'[10:00:00.840]',0.575,-0.240
'[10:00:00.844]',0.685,-0.235
'[10:00:00.848]',0.725,-0.225
'[10:00:00.852]',0.765,-0.320
'[10:00:00.856]',0.750,-0.685
'[10:00:00.860]',0.685,-1.275
'[10:00:00.864]',0.615,-1.915
'[10:00:00.868]',0.560,-2.490
'[10:00:00.872]',0.515,-2.825
'[10:00:00.876]',0.510,-3.010
'[10:00:00.880]',0.500,-3.080
'[10:00:00.884]',0.515,-3.095
'[10:00:00.888]',0.495,-3.115
'[10:00:00.892]',0.430,-3.080
'[10:00:00.896]',0.330,-2.960
'[10:00:00.900]',0.230,-2.710
'[10:00:00.904]',0.145,-2.435
'[10:00:00.908]',0.120,-2.160
'[10:00:00.912]',0.160,-1.960
'[10:00:00.916]',0.255,-1.805
'[10:00:00.920]',0.285,-1.690
'[10:00:00.924]',0.240,-1.550
'[10:00:00.928]',0.070,-1.385
'[10:00:00.932]',-0.105,-1.160
'[10:00:00.936]',-0.240,-0.950
'[10:00:00.940]',-0.285,-0.750
'[10:00:00.944]',-0.295,-0.585
'[10:00:00.948]',-0.295,-0.500
'[10:00:00.952]',-0.295,-0.405
'[10:00:00.956]',-0.370,-0.285
'[10:00:00.960]',-0.395,-0.175
'[10:00:00.964]',-0.415,-0.025
'[10:00:00.968]',-0.420,0.055
'[10:00:00.972]',-0.415,0.110
'[10:00:00.976]',-0.415,0.110
'[10:00:00.980]',-0.390,0.140
'[10:00:00.984]',-0.395,0.115
'[10:00:00.988]',-0.370,0.150
'[10:00:00.992]',-0.375,0.130
'[10:00:00.996]',-0.370,0.135
'[10:00:01.000]',-0.375,0.155
'[10:00:01.004]',-0.380,0.180
'[10:00:01.008]',-0.395,0.180
'[10:00:01.012]',-0.420,0.180
'[10:00:01.016]',-0.405,0.210
'[10:00:01.020]',-0.390,0.190
'[10:00:01.024]',-0.390,0.210
'[10:00:01.028]',-0.380,0.205
'[10:00:01.032]',-0.415,0.225
'[10:00:01.036]',-0.410,0.230
'[10:00:01.040]',-0.410,0.225
'[10:00:01.044]',-0.420,0.245
'[10:00:01.048]',-0.420,0.265
'[10:00:01.052]',-0.420,0.260
'[10:00:01.056]',-0.395,0.295
'[10:00:01.060]',-0.410,0.315
'[10:00:01.064]',-0.395,0.310
'[10:00:01.068]',-0.395,0.315
'[10:00:01.072]',-0.420,0.340
'[10:00:01.076]',-0.420,0.345
'[10:00:01.080]',-0.440,0.365
'[10:00:01.084]',-0.485,0.370
'[10:00:01.088]',-0.490,0.405
'[10:00:01.092]',-0.480,0.410
'[10:00:01.096]',-0.455,0.430
'[10:00:01.100]',-0.455,0.465
'[10:00:01.104]',-0.470,0.485
'[10:00:01.108]',-0.480,0.500
'[10:00:01.112]',-0.500,0.520
'[10:00:01.116]',-0.480,0.545
'[10:00:01.120]',-0.495,0.590
'[10:00:01.124]',-0.495,0.605
'[10:00:01.128]',-0.485,0.635
'[10:00:01.132]',-0.480,0.655
'[10:00:01.136]',-0.485,0.655
'[10:00:01.140]',-0.495,0.680
'[10:00:01.144]',-0.490,0.710
'[10:00:01.148]',-0.490,0.740
'[10:00:01.152]',-0.480,0.755
'[10:00:01.156]',-0.455,0.775
'[10:00:01.160]',-0.450,0.780
'[10:00:01.164]',-0.460,0.790
'[10:00:01.168]',-0.425,0.790
'[10:00:01.172]',-0.410,0.800
'[10:00:01.176]',-0.420,0.785
'[10:00:01.180]',-0.420,0.825
'[10:00:01.184]',-0.425,0.805
'[10:00:01.188]',-0.410,0.805
'[10:00:01.192]',-0.390,0.820
'[10:00:01.196]',-0.415,0.835
'[10:00:01.200]',-0.415,0.810
'[10:00:01.204]',-0.390,0.795
'[10:00:01.208]',-0.360,0.795
'[10:00:01.212]',-0.360,0.755
'[10:00:01.216]',-0.335,0.715
'[10:00:01.220]',-0.315,0.675
'[10:00:01.224]',-0.315,0.635
'[10:00:01.228]',-0.295,0.625
'[10:00:01.232]',-0.310,0.575
'[10:00:01.236]',-0.280,0.510
'[10:00:01.240]',-0.275,0.485
'[10:00:01.244]',-0.265,0.430
'[10:00:01.248]',-0.260,0.370
'[10:00:01.252]',-0.255,0.330
'[10:00:01.256]',-0.230,0.265
'[10:00:01.260]',-0.245,0.240
'[10:00:01.264]',-0.265,0.210
'[10:00:01.268]',-0.215,0.185
'[10:00:01.272]',-0.230,0.135
'[10:00:01.276]',-0.220,0.075
'[10:00:01.280]',-0.235,0.050
'[10:00:01.284]',-0.235,0.015
'[10:00:01.288]',-0.255,0.010
'[10:00:01.292]',-0.255,0.015
'[10:00:01.296]',-0.285,-0.015
'[10:00:01.300]',-0.270,-0.015
'[10:00:01.304]',-0.280,-0.020
'[10:00:01.308]',-0.265,-0.035
'[10:00:01.312]',-0.235,-0.050
'[10:00:01.316]',-0.240,-0.030
'[10:00:01.320]',-0.260,-0.055
'[10:00:01.324]',-0.265,-0.040
'[10:00:01.328]',-0.280,-0.035
'[10:00:01.332]',-0.280,-0.045
'[10:00:01.336]',-0.295,-0.040
'[10:00:01.340]',-0.300,-0.035
'[10:00:01.344]',-0.315,-0.010
'[10:00:01.348]',-0.280,-0.040
'[10:00:01.352]',-0.290,-0.060
'[10:00:01.356]',-0.295,-0.040
'[10:00:01.360]',-0.295,-0.040
'[10:00:01.364]',-0.310,-0.030
'[10:00:01.368]',-0.300,-0.035
'[10:00:01.372]',-0.315,-0.025
'[10:00:01.376]',-0.305,-0.030
'[10:00:01.380]',-0.300,0.000
'[10:00:01.384]',-0.295,0.000
'[10:00:01.388]',-0.290,-0.025
'[10:00:01.392]',-0.315,-0.030
'[10:00:01.396]',-0.320,-0.045
'[10:00:01.400]',-0.305,-0.020
'[10:00:01.404]',-0.305,-0.040
'[10:00:01.408]',-0.285,-0.040
'[10:00:01.412]',-0.300,-0.045
'[10:00:01.416]',-0.275,-0.060
'[10:00:01.420]',-0.245,-0.055
'[10:00:01.424]',-0.275,-0.060
'[10:00:01.428]',-0.265,-0.075
'[10:00:01.432]',-0.270,-0.090
'[10:00:01.436]',-0.265,-0.070
'[10:00:01.440]',-0.280,-0.075
'[10:00:01.444]',-0.285,-0.070
'[10:00:01.448]',-0.270,-0.075
'[10:00:01.452]',-0.255,-0.090
'[10:00:01.456]',-0.225,-0.090
'[10:00:01.460]',-0.225,-0.105
'[10:00:01.464]',-0.205,-0.100
'[10:00:01.468]',-0.200,-0.105
'[10:00:01.472]',-0.210,-0.110
'[10:00:01.476]',-0.190,-0.100
'[10:00:01.480]',-0.200,-0.080
'[10:00:01.484]',-0.180,-0.090
'[10:00:01.488]',-0.150,-0.060
'[10:00:01.492]',-0.135,-0.045
'[10:00:01.496]',-0.100,-0.060
'[10:00:01.500]',-0.090,-0.040
'[10:00:01.504]',-0.085,-0.030
'[10:00:01.508]',-0.060,-0.030
'[10:00:01.512]',-0.075,-0.020
'[10:00:01.516]',-0.095,-0.010
'[10:00:01.520]',-0.100,-0.015
